"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","dataset","epochs","finetune_epochs","learning_rate","lr","lr_backbone","lr_head","method","metric.goal","metric.name","model","name","optimizer","parameters.finetune_epochss","parameters.lr_backbone.distribution","parameters.lr_backbone.max","parameters.lr_backbone.min","parameters.lr_head.distribution","parameters.lr_head.max","parameters.lr_head.min","parameters.model","parameters.optimizers","parameters.unfreeze_layerss","parameters.warmup_epochss","parameters.weight_decays","phase","unfreeze_layers","unfrozen_layers","warmup_epochs","weight_decay","best_val_acc","best_val_f1_macro","epoch","epoch_time_s","test","train/acc","train/accuracy","train/loss","val/acc","val/f1_macro","val/loss","valid/accuracy","valid/loss"
"Swin-T_lr2e-03_wd0.05_unfreeze2_AdamW","finished","-","","","2026-04-18T15:54:44.000Z","307","7wwprp4o","","","","","8","","","0.00000387511230491591","0.0015452227779410089","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","2","","3","0.05","0.92","0.9195266957336258","11","26.113969564437863","","0.8452261306532663","","0.47446999128194567","0.9113333333333332","0.912009503686478","0.25987534268580853","",""
"Swin-T_lr4e-03_wd0.1_unfreeze3_SGD","finished","-","","","2026-04-18T15:48:38.000Z","360","7wwprp4o","","","","","8","","","0.0000011492334009168526","0.003937397863009997","","","","Swin-T","","SGD","","","","","","","","","","","","","2","3","","5","0.1","0.8866666666666667","0.8861419574948229","13","26.092151403427124","","0.7879396984924623","","0.95566773795067","0.8866666666666667","0.8861419574948229","0.7276823945502018","",""
"Swin-T_lr5e-03_wd0.1_unfreeze2_AdamW","finished","-","","","2026-04-18T15:42:26.000Z","366","7wwprp4o","","","","","8","","","0.000002356128575799679","0.004712284932777521","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","2","","5","0.1","0.9186666666666666","0.9187778487966756","13","26.25298547744751","","0.8412060301507538","","0.4544531384364088","0.9186666666666666","0.9187778487966756","0.22646643086633783","",""
"Swin-T_lr5e-03_wd0.05_unfreeze2_AdamW","finished","-","","","2026-04-18T15:37:00.000Z","320","7wwprp4o","","","","","8","","","0.000009275173347918165","0.005303397842867014","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","2","","3","0.05","0.9146666666666666","0.9137504071712208","11","26.65847969055176","","0.8408710217755444","","0.4842513604684079","0.9013333333333332","0.9021525515229344","0.26425112755424246","",""
"Swin-T_lr7e-03_wd0.1_unfreeze1_AdamW","finished","-","","","2026-04-18T15:31:44.000Z","310","7wwprp4o","","","","","8","","","0.000009769432456208612","0.00653597268934347","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","1","","3","0.1","0.9146666666666666","0.9145022386242114","11","26.779110193252563","","0.8358458961474037","","0.5113962406807757","0.9006666666666666","0.901672460142288","0.2650194000006911","",""
"Swin-T_lr8e-03_wd0.05_unfreeze2_AdamW","finished","-","","","2026-04-18T15:26:33.000Z","309","7wwprp4o","","","","","8","","","0.000006360485227712006","0.007949911607012587","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","2","","3","0.05","0.9213333333333332","0.9212018389093564","11","26.662528038024902","","0.8375209380234506","","0.532159113027948","0.898","0.8989146689193916","0.27516811153792003","",""
"Swin-T_lr2e-03_wd0.05_unfreeze2_AdamW","finished","-","","","2026-04-18T15:21:24.000Z","308","7wwprp4o","","","","","8","","","0.000008094798693287223","0.00242434109218985","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","2","","3","0.05","0.9226666666666666","0.922138932736439","11","26.58067297935486","","0.8445561139028476","","0.4608074407628242","0.9073333333333332","0.908397141966278","0.2568404933219736","",""
"Swin-T_lr1e-03_wd0.01_unfreeze1_AdamW","finished","-","","","2026-04-18T15:16:13.000Z","308","7wwprp4o","","","","","8","","","0.000006330632407356921","0.0012383848082566796","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","1","","3","0.01","0.92","0.9194060223965338","11","26.1004581451416","","0.8438860971524288","","0.48341199628850245","0.9093333333333332","0.909847851479414","0.26112568855998997","",""
"Swin-T_lr9e-04_wd0.01_unfreeze1_SGD","finished","-","","","2026-04-18T15:11:28.000Z","282","7wwprp4o","","","","","5","","","0.000008937751764957213","0.0009065990519572164","","","","Swin-T","","SGD","","","","","","","","","","","","","2","1","","5","0.01","0.8806666666666667","0.8806115480170197","10","26.531604766845703","","0.7926298157453936","","0.8630503745789223","0.8806666666666667","0.8806115480170197","0.6100409370153508","",""
"Swin-T_lr2e-03_wd0.01_unfreeze1_AdamW","finished","-","","","2026-04-18T15:07:34.000Z","229","7wwprp4o","","","","","5","","","0.000008984879900211013","0.0017492604086545489","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","1","","3","0.01","0.9213333333333332","0.9207764258497864","8","26.584997415542603","","0.840536013400335","","0.4914333788638419","0.9046666666666666","0.9040669241513728","0.255926994497868","",""
"Swin-T_lr9e-04_wd0.05_unfreeze1_AdamW","finished","-","","","2026-04-18T15:01:27.000Z","361","7wwprp4o","","","","","10","","","0.000008040009819976418","0.0008573145183448206","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","1","","3","0.05","0.9186666666666666","0.917834248032365","13","26.61968755722046","","0.8445561139028476","","0.47153490385476576","0.9186666666666666","0.917834248032365","0.24701449562339703","",""
"Swin-T_lr6e-04_wd0.001_unfreeze3_AdamW","finished","-","","","2026-04-18T14:56:17.000Z","307","7wwprp4o","","","","","8","","","0.0000014819336769015462","0.000614488931709882","","","","Swin-T","","AdamW","","","","","","","","","","","","","2","3","","3","0.001","0.914","0.913641928093584","11","26.608638763427734","","0.8278056951423786","","0.5431526461814312","0.9053333333333332","0.9052096057863168","0.28735156642629744","",""
"ConvNeXt-Small_lr6e-03_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T14:36:04.000Z","1211","5urpalx3","","","","","10","","","0.00006890992949327158","0.005789552111473312","","","","ConvNeXt-Small","","AdamW","","","","","","","","","","","","","2","3","","5","0.1","0.9613333333333334","0.9612160053469988","15","100.95968890190125","","0.9309882747068676","","0.20461080946583063","0.9446666666666668","0.9437023676354882","0.16964445107705034","",""
"ConvNeXt-Small_lr6e-03_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T14:17:12.000Z","1130","5urpalx3","","","","","10","","","0.000019399114846304784","0.00634576665369671","","","","ConvNeXt-Small","","AdamW","","","","","","","","","","","","","2","3","","3","0.1","0.9646666666666668","0.9646714526655276","13","99.85059428215028","","0.9262981574539364","","0.214741663155245","0.9646666666666668","0.9646714526655276","0.11296208249528872","",""
"ConvNeXt-Small_lr2e-03_wd0.05_unfreeze3_AdamW","finished","-","","","2026-04-18T13:56:59.000Z","1209","5urpalx3","","","","","10","","","0.00007791740512257713","0.0017480951806192586","","","","ConvNeXt-Small","","AdamW","","","","","","","","","","","","","2","3","","5","0.05","0.9586666666666668","0.9585183482121123","15","99.5687448978424","","0.9343383584589616","","0.19616290411733567","0.9446666666666668","0.9439024336514678","0.16541401732126573","",""
"ConvNeXt-Small_lr6e-03_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T13:36:50.000Z","1207","5urpalx3","","","","","10","","","0.0000927355803408932","0.005971393287354002","","","","ConvNeXt-Small","","AdamW","","","","","","","","","","","","","2","3","","5","0.1","0.9593333333333334","0.9593329579815664","15","100.06125736236572","","0.9323283082077052","","0.2076252500744576","0.958","0.9576073549918604","0.14172450590562452","",""
"ConvNeXt-Small_lr9e-03_wd0.1_unfreeze3_SGD","finished","-","","","2026-04-18T13:21:21.000Z","927","5urpalx3","","","","","8","","","0.00005279645341935697","0.009367557178204604","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","3","","3","0.1","0.9006666666666666","0.901264245848816","11","99.1801106929779","","0.8174204355108877","","0.6366135471678794","0.8746666666666667","0.873115576277526","0.4124366792434074","",""
